state,city,crime_type,year,time_of_day,season,latitude,longitude,population_density,police_presence_index,street_lighting_index,repeat_offender_rate,crime_count,severity_weight,severity_score,time_severity,norm_crime_count,norm_severity_score,norm_population_density,norm_police_presence_index,norm_street_lighting_index,norm_repeat_offender_rate,norm_time_severity,police_risk,lighting_risk,risk_index,final_risk_index,risk_level
Nagaland,Nagaland_City_4,Kidnapping,2021,Afternoon,Summer,29.66936804,89.45960521,12989,0.670215489,0.347581003,0.151271822,153,4,612,3,0.24200913242009128,0.2236614853195164,0.6480289621882542,0.588827378288852,0.18336416480796502,0.36113805012151806,0.20000000000000007,0.411172621711148,0.816635835192035,0.32678168101711424,0.3407824884749611,Medium Risk
Assam,Assam_City_5,Stalking,2021,Evening,Monsoon,12.79352922,88.30730682,10177,0.865357635,0.418456648,0.212050719,159,3,477,5,0.2557077625570776,0.16537132987910189,0.5066371681415929,0.8331989813555507,0.2723312500425374,0.5173798898044197,0.6,0.1668010186444493,0.7276687499574626,0.3682639618239627,0.39350982827171027,Medium Risk
Tamil Nadu,Tamil Nadu_City_4,Stalking,2023,Morning,Summer,9.627946999,92.72911258,5117,0.8981842,0.873546853,0.082579553,88,3,264,2,0.09360730593607305,0.07340241796200345,0.252212389380531,0.8743068633618456,0.8435860027527815,0.1845536267392911,0.0,0.1256931366381544,0.1564139972472185,0.10876207061773453,0.06366189972505086,Low Risk
Nagaland,Nagaland_City_4,Cyber Crime,2020,Morning,Monsoon,20.62023158,95.18324553,10695,0.306783978,0.264481211,0.29389633,308,2,616,2,0.595890410958904,0.2253886010362694,0.5326830249396621,0.1337112346546489,0.07905264456939443,0.7277770747452905,0.0,0.866288765345351,0.9209473554306056,0.45711642274335096,0.5064485049198973,Medium Risk
Sikkim,Sikkim_City_4,Eve Teasing,2021,Morning,Summer,29.15573863,90.19987407,13593,0.380178962,0.305079527,0.165546052,219,2,438,2,0.3926940639269406,0.1485319516407599,0.6783990345937249,0.22562192778156942,0.1300139280956623,0.39783223289447733,0.0,0.7743780722184306,0.8699860719043377,0.3450394494916077,0.36398959144905935,Medium Risk
Jharkhand,Jharkhand_City_2,Domestic Violence,2021,Night,Winter,27.05169953,95.74182401,15361,0.426196552,0.235675927,0.024152173,367,4,1468,7,0.730593607305936,0.5932642487046632,0.7672968624296057,0.2832485987394982,0.0428946363165727,0.034356736212436324,1.0,0.7167514012605019,0.9571053636834272,0.6465404989246724,0.747221852870642,High Risk
Haryana,Haryana_City_2,Stalking,2019,Evening,Winter,30.82667148,96.27020493,2114,0.559791874,0.821368446,0.035492801,305,3,915,5,0.5890410958904109,0.3544905008635578,0.10121681415929204,0.4505466615544465,0.7780887394407763,0.0635096275832591,0.6,0.5494533384455536,0.22191126055922372,0.38409925469214906,0.41363776848140227,Medium Risk
Mizoram,Mizoram_City_5,Eve Teasing,2019,Evening,Monsoon,8.974794405,69.8169429,18781,0.649594278,0.476736358,0.132923913,117,2,234,5,0.15981735159817348,0.06044905008635579,0.9392598551890586,0.5630039542231626,0.34548721112079167,0.3139718263498943,0.6,0.43699604577683737,0.6545127888792084,0.3406638016253246,0.3584277884963553,Medium Risk
Chhattisgarh,Chhattisgarh_City_5,Rape,2020,Afternoon,Winter,34.09516702,68.63287851,8027,0.638656467,0.302390567,0.35403289,264,5,1320,3,0.49543378995433784,0.5293609671848014,0.3985317779565567,0.549306808512207,0.1266385946717145,0.882367684815118,0.20000000000000007,0.45069319148779297,0.8733614053282854,0.5246097496435121,0.5922379917142285,Medium Risk
Uttarakhand,Uttarakhand_City_5,Stalking,2022,Morning,Summer,20.14500625,75.54457594,5532,0.595584905,0.983640672,0.066536378,147,3,441,2,0.22831050228310504,0.14982728842832468,0.27307924376508447,0.4953693743480532,0.9817819398588579,0.14331208896747633,0.0,0.5046306256519468,0.018218060141142134,0.16948161968914174,0.14084136608806985,Low Risk
Kerala,Kerala_City_2,Dowry Death,2023,Evening,Monsoon,13.74483135,84.39457738,18422,0.446958995,0.95762879,0.387268909,265,5,1325,5,0.49771689497716887,0.5315198618307426,0.9212087691069991,0.3092488840878563,0.9491303664868533,0.9678061677197334,0.6,0.6907511159121438,0.05086963351314666,0.6216820287419023,0.7156247232369725,High Risk
Uttar Pradesh,Uttar Pradesh_City_4,Domestic Violence,2023,Afternoon,Summer,28.88023315,80.12170808,15452,0.880492846,0.648978231,0.214122455,119,4,476,3,0.16438356164383564,0.16493955094991364,0.7718724859211584,0.8521524255532114,0.5616948716811068,0.52270561731766,0.20000000000000007,0.14784757444678864,0.43830512831889323,0.2972315044764863,0.3032218199387609,Low Risk
Uttar Pradesh,Uttar Pradesh_City_4,Domestic Violence,2021,Night,Summer,14.59487538,79.71535841,18574,0.25413469,0.766268078,0.221979905,382,4,1528,7,0.7648401826484018,0.6191709844559585,0.928851568785197,0.06777985502904865,0.7089236667798882,0.5429044446049736,1.0,0.9322201449709513,0.29107633322011184,0.731488439254909,0.8551975675060555,High Risk
Tripura,Tripura_City_3,Rape,2023,Night,Winter,22.05619233,72.80746166,18021,0.731350332,0.372872363,0.048049379,326,5,1630,7,0.636986301369863,0.6632124352331606,0.9010458567980691,0.6653850050925509,0.21511129854929822,0.09578831218725664,1.0,0.33461499490744906,0.7848887014507018,0.6354977014765589,0.7331855626274781,High Risk
Uttarakhand,Uttarakhand_City_2,Human Trafficking,2020,Evening,Winter,21.34470567,89.72922767,8635,0.829576108,0.289548742,0.148829616,191,5,955,5,0.3287671232876712,0.37176165803108807,0.4291029766693483,0.7883906747319043,0.11051881559467808,0.3548599704399368,0.6,0.21160932526809573,0.8894811844053219,0.41632601404628605,0.45460059063010894,Medium Risk
Rajasthan,Rajasthan_City_4,Cyber Crime,2023,Morning,Monsoon,9.506740749,90.80206778,5155,0.471821977,0.89770856,0.222490626,170,2,340,2,0.2808219178082192,0.10621761658031087,0.25412308930008043,0.3403841713279509,0.8739151326828409,0.5442173343174125,0.0,0.659615828672049,0.12608486731715907,0.24308982747421282,0.23440336191430705,Low Risk
West Bengal,West Bengal_City_5,Assault,2021,Morning,Winter,29.86912273,68.52042468,11083,0.902264063,0.903665484,0.349525586,203,3,609,2,0.3561643835616438,0.22236614853195164,0.5521922767497989,0.8794159732186293,0.8813925978296326,0.8707809416570429,0.0,0.1205840267813707,0.11860740217036736,0.3424285733945221,0.3606709563966802,Medium Risk
Himachal Pradesh,Himachal Pradesh_City_4,Eve Teasing,2020,Night,Winter,36.56470003,90.38836181,2213,0.252163673,0.571145101,0.36459588,305,2,610,7,0.5890410958904109,0.2227979274611399,0.10619469026548672,0.06531159999632125,0.4639943610080322,0.9095215337925369,1.0,0.9346884000036788,0.5360056389919678,0.5735421568830992,0.6544350458156669,Medium Risk
Jammu and Kashmir,Jammu and Kashmir_City_2,Dowry Death,2021,Morning,Summer,22.43656273,71.0587373,15895,0.561357455,0.517905112,0.046429109,297,5,1485,2,0.5707762557077625,0.6006044905008635,0.794147224456959,0.45250719927806443,0.3971645404222625,0.09162314996683965,0.0,0.5474928007219355,0.6028354595777374,0.44351979450786205,0.4891660888348025,Medium Risk
Arunachal Pradesh,Arunachal Pradesh_City_4,Eve Teasing,2021,Afternoon,Summer,35.96982296,73.90922731,16491,0.429710366,0.834283535,0.235261413,174,2,348,3,0.2899543378995434,0.10967184801381694,0.8241150442477876,0.2876488596654911,0.7943004836002134,0.5770466772895051,0.20000000000000007,0.7123511403345089,0.20569951639978656,0.3447775853332594,0.36365674088758443,Medium Risk
Assam,Assam_City_3,Domestic Violence,2019,Evening,Winter,17.05812395,86.63756507,8178,0.932072055,0.626423094,0.071602381,322,4,1288,5,0.6278538812785387,0.5155440414507771,0.4061242960579244,0.916743772151615,0.5333823985324468,0.1563350569321484,0.6,0.08325622784838504,0.46661760146755316,0.4674058602937405,0.5195272136958924,Medium Risk
Uttarakhand,Uttarakhand_City_3,Stalking,2020,Morning,Summer,12.81499509,85.79072102,11216,0.924914604,0.42152359,0.393573374,292,3,876,2,0.5593607305936072,0.33765112262521585,0.558879726468222,0.9077806762208092,0.27618104767504564,0.9840127996008032,0.0,0.09221932377919084,0.7238189523249543,0.46854476969685577,0.5209748598216053,Medium Risk
Jammu and Kashmir,Jammu and Kashmir_City_4,Stalking,2022,Night,Monsoon,13.85845438,73.34252034,712,0.786108188,0.856302006,0.132133178,373,3,1119,7,0.7442922374429223,0.442573402417962,0.03072204344328238,0.7339568914097971,0.8219393034824445,0.3119391160310206,1.0,0.26604310859020286,0.17806069651755552,0.5187846719695903,0.5848338460433226,Medium Risk
Andhra Pradesh,Andhra Pradesh_City_1,Harassment,2021,Afternoon,Winter,31.30450253,82.65099643,7283,0.990732792,0.588287187,0.05774922,209,2,418,3,0.36986301369863006,0.13989637305699482,0.36112228479485114,0.9902031382168217,0.485512068906992,0.12072329911983683,0.20000000000000007,0.00979686178317829,0.5144879310930079,0.23787480968017619,0.22777465177774037,Low Risk
Nagaland,Nagaland_City_5,Eve Teasing,2022,Morning,Summer,26.40546692,72.81269196,1225,0.983825966,0.724907214,0.060632315,67,2,134,2,0.045662100456621,0.017271157167530228,0.05651649235720032,0.9815538936721668,0.6570051902303828,0.1281347542303265,0.0,0.018446106327833167,0.34299480976961716,0.05867722258117934,0.0,Low Risk
Haryana,Haryana_City_3,Assault,2019,Afternoon,Summer,10.69788411,68.85156061,326,0.349929555,0.886541643,0.32943477,227,3,681,3,0.410958904109589,0.25345423143350604,0.011313354786806111,0.18774135594237779,0.8598977920780904,0.819134297714645,0.20000000000000007,0.8122586440576223,0.14010220792190964,0.3677228066206278,0.392821976163918,Medium Risk
Rajasthan,Rajasthan_City_5,Dowry Death,2019,Morning,Summer,28.59704116,77.11615328,19474,0.721334335,0.451248636,0.109185573,220,5,1100,2,0.39497716894977164,0.43436960276338515,0.9741049879324215,0.6528422238770504,0.3134935927825164,0.25294864074291934,0.0,0.3471577761229496,0.6865064072174836,0.3943726969999909,0.42669614600818584,Medium Risk
Punjab,Punjab_City_5,Harassment,2023,Afternoon,Monsoon,33.5148355,83.23761246,4179,0.769611216,0.86078257,0.049248617,245,2,490,3,0.45205479452054786,0.17098445595854922,0.20504827031375703,0.7132981481499663,0.8275635587437118,0.0988711445614217,0.20000000000000007,0.2867018518500337,0.1724364412562882,0.24405222599067936,0.23562664840219083,Low Risk
Chhattisgarh,Chhattisgarh_City_3,Rape,2019,Evening,Winter,34.25543635,89.45046772,5533,0.691021935,0.548404364,0.235127395,358,5,1790,5,0.7100456621004566,0.7322970639032815,0.2731295253419147,0.6148827674877628,0.4354489123285035,0.5767021626651179,0.6,0.3851172325122372,0.5645510876714965,0.6118873744440804,0.7031749240622924,High Risk
Odisha,Odisha_City_4,Stalking,2019,Evening,Winter,32.40197904,81.66732785,8050,0.4031799,0.22489248,0.298324947,206,3,618,5,0.363013698630137,0.22625215889464595,0.39968825422365245,0.2544254241369787,0.029358648765821005,0.7391615404313161,0.6,0.7455745758630212,0.9706413512341789,0.4739703172231184,0.5278711703049341,Medium Risk
Mizoram,Mizoram_City_5,Eve Teasing,2023,Morning,Summer,17.13266807,68.11069689,2058,0.333705609,0.724225928,0.396779621,354,2,708,2,0.7009132420091323,0.2651122625215889,0.09840104585679807,0.16742451627777988,0.6561500018277782,0.9922549684206452,0.0,0.8325754837222201,0.34384999817222184,0.459006000076179,0.5088503108033339,Medium Risk
West Bengal,West Bengal_City_4,Harassment,2022,Evening,Summer,16.09900657,86.64357539,541,0.610123803,0.444248541,0.092931307,328,2,656,5,0.641552511415525,0.24265975820379965,0.02212389380530973,0.5135760707686368,0.3047066808818895,0.21116445991885402,0.6,0.48642392923136324,0.6952933191181105,0.40402598819066393,0.43896626122045135,Medium Risk
Telangana,Telangana_City_1,Cyber Crime,2019,Evening,Winter,30.13150345,79.84088394,8279,0.950643855,0.896963586,0.308765263,283,2,566,5,0.5388127853881278,0.20379965457685664,0.41120273531777957,0.9400007703494011,0.8729799995301828,0.7660000363439818,0.6,0.059999229650598895,0.1270200004698172,0.4410243504806422,0.4859941772955203,Medium Risk
Telangana,Telangana_City_1,Human Trafficking,2021,Afternoon,Winter,27.2845622,75.54831887,7518,0.20015072,0.335264856,0.162006161,197,5,985,3,0.34246575342465746,0.38471502590673573,0.37293845534995973,0.0001770866921432246,0.167904246243407,0.38873237900741275,0.20000000000000007,0.9998229133078568,0.832095753756593,0.3989948305721787,0.432571252263348,Medium Risk
Kerala,Kerala_City_5,Cyber Crime,2020,Night,Monsoon,21.35038986,93.07234468,9131,0.30307897,0.530208903,0.322918188,331,2,662,7,0.6484018264840182,0.2452504317789292,0.454042638777152,0.12907154628955864,0.4126089490425349,0.8023823852848343,1.0,0.8709284537104414,0.5873910509574651,0.6120906614695726,0.7034333183419925,High Risk
Meghalaya,Meghalaya_City_2,Stalking,2019,Night,Winter,20.22187721,68.78807547,15049,0.424029864,0.886673341,0.12396511,408,3,1224,7,0.8242009132420091,0.48791018998272884,0.751609010458568,0.2805353098331366,0.8600631067950317,0.29094179567861217,1.0,0.7194646901668633,0.13993689320496827,0.6398000253724248,0.7386541648730793,High Risk
Jharkhand,Jharkhand_City_2,Harassment,2020,Morning,Summer,32.34436638,96.4721621,7330,0.647347845,0.702590488,0.217743596,352,2,704,2,0.6963470319634703,0.26338514680483593,0.3634855189058729,0.5601908026582929,0.6289919839421212,0.532014337276681,0.0,0.4398091973417071,0.3710080160578788,0.39662460784414527,0.42955850714075183,Medium Risk
Jammu and Kashmir,Jammu and Kashmir_City_3,Eve Teasing,2022,Night,Summer,33.30986135,71.26483132,17417,0.296197781,0.254672748,0.112693156,485,2,970,7,0.9999999999999999,0.37823834196891193,0.8706757843925985,0.12045440631542442,0.06674051162526179,0.26196544176779596,1.0,0.8795455936845755,0.9332594883747383,0.711562234299623,0.8298697465882727,High Risk
Arunachal Pradesh,Arunachal Pradesh_City_2,Kidnapping,2021,Morning,Monsoon,21.594271,76.73669256,18246,0.381081195,0.784196918,0.243535236,202,4,808,2,0.3538812785388128,0.3082901554404145,0.9123592115848752,0.2267517714830406,0.7314289524310735,0.598315857721172,0.0,0.7732482285169594,0.26857104756892647,0.39861712211576444,0.432091154213335,Medium Risk
Karnataka,Karnataka_City_3,Assault,2021,Night,Summer,32.71565236,87.36633581,19682,0.700940937,0.625053216,0.336879352,286,3,858,7,0.545662100456621,0.3298791018998273,0.9845635559131134,0.6273040843034638,0.5316628508262218,0.8382717820186167,1.0,0.37269591569653615,0.4683371491737782,0.6351340767267317,0.7327233661095981,High Risk
Telangana,Telangana_City_4,Rape,2021,Afternoon,Summer,24.90139822,96.86768797,1592,0.617156551,0.250912727,0.334235671,288,5,1440,3,0.550228310502283,0.581174438687392,0.07496983105390186,0.522383004267893,0.0620207223550438,0.8314757787450672,0.20000000000000007,0.47761699573210703,0.9379792776449563,0.5158488508834222,0.5811021795828012,Medium Risk
Tamil Nadu,Tamil Nadu_City_4,Cyber Crime,2023,Evening,Winter,11.33305691,70.72186126,13735,0.894841205,0.251749515,0.382771549,96,2,192,5,0.11187214611872145,0.04231433506044904,0.6855390185036202,0.8701205147747293,0.06307110559062867,0.9562449871982064,0.6,0.1298794852252707,0.9369288944093713,0.39387768920661764,0.4260669509973145,Medium Risk
Telangana,Telangana_City_4,Assault,2022,Afternoon,Monsoon,23.0059442,80.4823949,6681,0.547676769,0.819103725,0.244750138,133,3,399,3,0.19634703196347028,0.13169257340241797,0.330852775543041,0.4353752201674516,0.7752459346064848,0.601438956903351,0.20000000000000007,0.5646247798325483,0.22475406539351517,0.27477996469258203,0.2746840938513682,Low Risk
Jharkhand,Jharkhand_City_3,Assault,2019,Evening,Monsoon,20.85802042,85.60559778,9865,0.67335773,0.762107018,0.102599053,111,3,333,5,0.14611872146118723,0.10319516407599308,0.4909493161705551,0.5927623276892335,0.7037004708613726,0.23601694153968722,0.6,0.40723767231076646,0.29629952913862745,0.27200280430477336,0.2711540979931394,Low Risk
Jharkhand,Jharkhand_City_3,Dowry Death,2023,Night,Winter,19.1508285,82.14234499,11193,0.410140514,0.417255012,0.194429882,427,5,2135,7,0.867579908675799,0.8812607944732297,0.5577232502011262,0.26314202604166675,0.27082288913191815,0.4720827204656517,1.0,0.7368579739583332,0.7291771108680818,0.7870966631185384,0.9258801254108081,High Risk
Tamil Nadu,Tamil Nadu_City_4,Cyber Crime,2022,Morning,Monsoon,26.38901691,70.05703427,6816,0.577994684,0.236518996,0.064609398,237,2,474,2,0.43378995433789946,0.16407599309153711,0.3376407884151247,0.47334158285257827,0.04395290381567801,0.13835847981869304,0.0,0.5266584171474218,0.9560470961843219,0.27811961333826274,0.27892905785810834,Low Risk
West Bengal,West Bengal_City_3,Human Trafficking,2022,Evening,Monsoon,21.97919069,73.68683367,5510,0.557974513,0.579430736,0.240438302,300,5,1500,5,0.5776255707762556,0.6070811744386874,0.27197304907481895,0.4482708260672171,0.4743949548265089,0.5903546953865458,0.6,0.551729173932783,0.525605045173491,0.5557939064745132,0.6318755815844522,Medium Risk
Uttar Pradesh,Uttar Pradesh_City_1,Assault,2022,Evening,Monsoon,32.76994393,69.43540875,17643,0.22937709,0.286420603,0.142155653,424,3,1272,5,0.8607305936073059,0.5086355785837651,0.8820394207562349,0.03677653501798295,0.10659220005504394,0.33770348507141124,0.6,0.963223464982017,0.8934077999449561,0.6640325711304516,0.7694556938505508,High Risk
Uttar Pradesh,Uttar Pradesh_City_2,Harassment,2020,Night,Winter,14.3367852,79.50710857,18284,0.85334574,0.427649841,0.329100601,433,2,866,7,0.8812785388127853,0.3333333333333333,0.9142699115044247,0.8181567872565945,0.2838710615703038,0.8182752630512651,1.0,0.18184321274340554,0.7161289384296963,0.7127198562033169,0.8313411778183065,High Risk
Chhattisgarh,Chhattisgarh_City_1,Domestic Violence,2021,Evening,Summer,24.66860707,68.86037847,15214,0.235882854,0.560477615,0.372476411,175,4,700,5,0.2922374429223744,0.2616580310880829,0.7599054706355591,0.04492353970375501,0.4506039342090858,0.929779694468242,0.6,0.9550764602962449,0.5493960657909143,0.5191549960407645,0.5853045579414132,Medium Risk
Odisha,Odisha_City_1,Human Trafficking,2020,Night,Summer,19.44270619,80.23301718,11695,0.905806845,0.736754404,0.110687569,361,5,1805,7,0.7168949771689497,0.7387737478411053,0.5829646017699115,0.883852510042693,0.6718764476633161,0.25680976079971074,1.0,0.11614748995730695,0.3281235523366839,0.632948657664161,0.729945521418584,High Risk
Kerala,Kerala_City_4,Assault,2023,Afternoon,Monsoon,31.88992114,95.69675483,3421,0.777114761,0.890304402,0.010820499,229,3,687,3,0.41552511415525106,0.2560449050086356,0.16693483507642798,0.7226946488952901,0.8646210182394911,8.554383109532146e-05,0.20000000000000007,0.2773053511047099,0.1353789817605089,0.2352330365165397,0.22441674405049705,Low Risk
Kerala,Kerala_City_4,Cyber Crime,2021,Afternoon,Winter,32.05803915,69.17620339,1975,0.749271931,0.29159011,0.159697164,227,2,454,3,0.410958904109589,0.15544041450777202,0.09422767497988736,0.6878277729257414,0.11308125521482021,0.38279673428680683,0.20000000000000007,0.3121722270742586,0.8869187447851798,0.2983966558883219,0.3047028217836831,Low Risk
Andhra Pradesh,Andhra Pradesh_City_2,Dowry Death,2023,Night,Monsoon,27.21727088,70.67625897,1874,0.535158232,0.800942438,0.037692989,395,5,1975,7,0.7945205479452054,0.8121761658031088,0.08914923572003218,0.4196985710301619,0.7524488684422399,0.06916556143096031,1.0,0.580301428969838,0.2475511315577601,0.6123565642501057,0.7037713023194732,High Risk
Bihar,Bihar_City_3,Kidnapping,2022,Afternoon,Monsoon,35.31004564,87.38860675,16685,0.489535993,0.674928633,0.013951162,334,4,1336,3,0.6552511415525114,0.5362694300518135,0.833869670152856,0.3625669881894051,0.594269271908511,0.008133411934841794,0.20000000000000007,0.6374330118105949,0.405730728091489,0.46464530870169735,0.5160183289627249,Medium Risk
Jharkhand,Jharkhand_City_4,Domestic Violence,2019,Afternoon,Winter,34.48532148,85.76463058,13951,0.337478785,0.710301674,0.298982688,201,4,804,3,0.35159817351598166,0.30656303972366145,0.6963998390989541,0.1721495697153535,0.6386714971532059,0.740852368480974,0.20000000000000007,0.8278504302846466,0.3613285028467941,0.4347670891485243,0.47804069117955994,Medium Risk
Manipur,Manipur_City_2,Dowry Death,2019,Evening,Monsoon,9.926871486,83.4850567,6539,0.856010103,0.755905899,0.217672153,297,5,1485,5,0.5707762557077625,0.6006044905008635,0.3237127916331456,0.8214933020526427,0.6959164784529404,0.5318306816609422,0.6,0.1785066979473573,0.30408352154705964,0.5191205789393334,0.5852608110170232,Medium Risk
Kerala,Kerala_City_1,Eve Teasing,2023,Evening,Summer,10.44737904,79.5816937,5576,0.298402636,0.646913917,0.143835268,396,2,792,5,0.7968036529680365,0.3013816925734024,0.27529163314561544,0.12321549079627064,0.5591036289546538,0.3420212030707852,0.6,0.8767845092037294,0.4408963710453462,0.5092627241729928,0.5727306789263589,Medium Risk
West Bengal,West Bengal_City_2,Stalking,2021,Afternoon,Winter,31.68497287,69.95415209,10616,0.753994261,0.543944862,0.272456983,152,3,456,3,0.23972602739726026,0.1563039723661485,0.5287107803700724,0.6937414280533731,0.42985109527106796,0.6726638169828125,0.20000000000000007,0.30625857194662687,0.5701489047289321,0.3265985243590593,0.3405496815232347,Medium Risk
Gujarat,Gujarat_City_2,Domestic Violence,2022,Morning,Summer,16.88309146,90.88056964,3359,0.381023287,0.507391696,0.185548111,291,4,1164,2,0.5570776255707762,0.4620034542314335,0.16381737731295254,0.2266792547505948,0.3839675109295712,0.4492507128251997,0.0,0.7733207452494052,0.6160324890704287,0.40800727632161926,0.44402680099855796,Medium Risk
Nagaland,Nagaland_City_5,Cyber Crime,2022,Afternoon,Monsoon,34.58242184,80.49857139,16843,0.911721626,0.209847762,0.154320411,221,2,442,3,0.39726027397260266,0.15025906735751296,0.8418141592920354,0.8912594415763786,0.010473674828213708,0.36897493393000597,0.20000000000000007,0.1087405584236214,0.9895263251717863,0.36132083553100375,0.38468455222179376,Medium Risk
Delhi,Delhi_City_1,Assault,2021,Night,Monsoon,19.39625254,83.24856537,3461,0.333488161,0.544423471,0.065611716,227,3,681,7,0.410958904109589,0.25345423143350604,0.16894609814963796,0.16715221161457477,0.4304518721345029,0.1409350979542161,1.0,0.8328477883854253,0.569548127865497,0.4242579542064161,0.4646827292188245,Medium Risk
Telangana,Telangana_City_4,Eve Teasing,2022,Night,Monsoon,35.45268859,77.85329599,19757,0.716657909,0.709521854,0.142835625,272,2,544,7,0.5136986301369862,0.19430051813471502,0.9883346741753821,0.6469860531744756,0.6376926233467295,0.33945146144901583,1.0,0.35301394682552445,0.3623073766532705,0.5125170398767557,0.576867177850253,Medium Risk
Assam,Assam_City_2,Cyber Crime,2019,Night,Summer,10.93653752,92.5670452,13803,0.491674983,0.374314043,0.395334027,193,2,386,7,0.33333333333333326,0.12607944732297063,0.6889581657280772,0.3652455915867647,0.21692097615351585,0.9885388386923522,1.0,0.6347544084132353,0.7830790238464842,0.5529215091537226,0.6282245318683143,Medium Risk
Sikkim,Sikkim_City_5,Cyber Crime,2020,Afternoon,Winter,12.85343226,96.18873244,7169,0.222029376,0.604364094,0.385966789,387,2,774,3,0.776255707762557,0.2936096718480138,0.35539018503620273,0.027575177515971938,0.5056927043760209,0.9644588607706142,0.20000000000000007,0.9724248224840281,0.4943072956239791,0.5510107984272555,0.6257958637293365,Medium Risk
Maharashtra,Maharashtra_City_5,Harassment,2019,Afternoon,Summer,10.87976388,74.05705805,4558,0.510389408,0.328019949,0.019107318,245,2,490,3,0.45205479452054786,0.17098445595854922,0.22410498793242156,0.3886811954860961,0.15881003258813015,0.021388132551637982,0.20000000000000007,0.611318804513904,0.8411899674118699,0.28400396989205084,0.2864085517880947,Low Risk
Goa,Goa_City_2,Cyber Crime,2020,Evening,Monsoon,21.29716726,76.38809839,2269,0.292911168,0.964735063,0.13244702,193,2,386,5,0.33333333333333326,0.12607944732297063,0.1090104585679807,0.11633866348932143,0.9580505589689274,0.3127458969018509,0.6,0.8836613365106786,0.041949441031072565,0.3089466644332392,0.31811273740516505,Low Risk
Delhi,Delhi_City_3,Assault,2021,Afternoon,Monsoon,25.48534342,91.97451343,18900,0.270561363,0.685501873,0.069117874,250,3,750,3,0.4634703196347031,0.28324697754749567,0.9452433628318584,0.08835056461867496,0.6075413958417126,0.149948235789523,0.20000000000000007,0.911649435381325,0.39245860415828737,0.39890129792414464,0.4324523646896886,Medium Risk
Nagaland,Nagaland_City_3,Stalking,2021,Morning,Monsoon,30.43262785,96.42316078,15948,0.642969188,0.63336385,0.307141707,136,3,408,2,0.20319634703196346,0.13557858376511225,0.7968121480289622,0.5547075205877492,0.5420948247917687,0.76182642693695,0.0,0.4452924794122508,0.45790517520823126,0.3238087942737317,0.3370037085610635,Medium Risk
Rajasthan,Rajasthan_City_2,Human Trafficking,2023,Afternoon,Winter,15.52071202,73.64409126,440,0.473958383,0.416198154,0.38690278,209,5,1045,3,0.36986301369863006,0.41062176165803105,0.017045454545454544,0.3430595388470788,0.26949626168793733,0.9668649747836183,0.20000000000000007,0.6569404611529213,0.7305037383120627,0.4412276954845027,0.4862526452704238,Medium Risk
Sikkim,Sikkim_City_5,Human Trafficking,2021,Morning,Winter,24.90654836,96.99170032,5104,0.700987457,0.591118265,0.166693732,353,5,1765,2,0.6986301369863013,0.7215025906735751,0.25155872888173775,0.6273623401298329,0.4890657968163707,0.40078252721402174,0.0,0.37263765987016706,0.5109342031836293,0.484485027037936,0.541236218380559,Medium Risk
Assam,Assam_City_1,Human Trafficking,2021,Afternoon,Monsoon,29.30275977,76.71419218,9529,0.655501889,0.696528384,0.088511722,122,5,610,3,0.17123287671232876,0.2227979274611399,0.47405470635559127,0.5704019069461201,0.6213824909594634,0.1998032124280521,0.20000000000000007,0.42959809305387986,0.3786175090405366,0.24629443364785497,0.23847667599795536,Low Risk
Maharashtra,Maharashtra_City_5,Harassment,2022,Evening,Monsoon,32.72417568,88.61565678,10338,0.971223078,0.927563689,0.291635862,223,2,446,5,0.4018264840182648,0.15198618307426598,0.5147325020112631,0.9657716138983752,0.9113909652686629,0.7219661815521429,0.6,0.03422838610162482,0.08860903473133708,0.3943632152487285,0.42668409393412055,Medium Risk
Jharkhand,Jharkhand_City_4,Domestic Violence,2022,Evening,Summer,33.22910563,71.78891797,16959,0.246192841,0.744604714,0.19204501,126,4,504,5,0.18036529680365296,0.1770293609671848,0.8476468222043443,0.05783447720460033,0.6817305971230889,0.46595202696708027,0.6,0.9421655227953997,0.3182694028769111,0.39702789699182145,0.4300711203219044,Medium Risk
Assam,Assam_City_1,Stalking,2022,Night,Summer,36.11862408,95.52425215,4861,0.984789903,0.586725949,0.346783534,311,3,933,7,0.6027397260273972,0.36226252158894645,0.2393403057119871,0.9827610077414428,0.4835523153948023,0.8637320600528542,1.0,0.017238992258557184,0.5164476846051977,0.5714287353264005,0.6517487157878487,Medium Risk
Manipur,Manipur_City_2,Cyber Crime,2023,Afternoon,Summer,16.28772311,73.89346964,13627,0.552978971,0.684604243,0.368306537,330,2,660,3,0.6461187214611871,0.2443868739205527,0.6801086082059533,0.44201503442122886,0.6064146403149147,0.9190603688936779,0.20000000000000007,0.5579849655787712,0.39358535968508535,0.5060748312632748,0.5686786087552655,Medium Risk
West Bengal,West Bengal_City_3,Cyber Crime,2022,Afternoon,Summer,29.04577743,93.93912415,3902,0.526067367,0.862015138,0.30816584,337,2,674,3,0.6621004566210045,0.2504317789291882,0.19112027353177796,0.4083143093580937,0.829110747235801,0.7644591240061314,0.20000000000000007,0.5916856906419063,0.17088925276419897,0.430042702011951,0.47203561235948777,Medium Risk
